fixed_acidity,residual_sugar,alcohol,density,quality_label
9.3,6.4,13.6,1.0005,high
11.2,2.0,14.0,0.9912,medium
11.6,0.9,8.2,0.9935,low
12.9,6.6,12.7,1.0002,low
13.9,13.8,10.4,0.9942,medium
12.5,0.7,10.5,0.9933,low
4.3,9.0,13.1,0.9909,high
15.0,1.7,12.9,0.9917,high
12.3,6.6,13.2,0.9936,medium
12.2,14.4,9.9,1.0021,medium
15.5,13.0,10.5,0.9952,high
8.8,4.3,8.2,0.9967,medium
8.3,9.1,11.5,0.99,high
4.8,11.8,10.5,1.0048,medium
5.7,2.0,10.9,0.9955,medium
9.7,1.1,13.1,0.9932,medium
13.8,7.1,8.5,1.0017,low
7.8,4.3,8.4,1.0007,medium
7.0,4.0,8.7,0.9911,medium
15.6,4.2,12.3,1.0019,high
9.8,4.1,8.7,0.9968,low
11.4,14.0,13.8,0.9989,low
8.7,3.0,10.4,1.0047,low
7.1,6.2,13.0,1.0007,high
11.9,2.4,13.4,0.9942,low
6.3,10.2,10.8,0.9959,high
12.9,6.3,11.1,0.9974,high
10.5,13.7,13.5,1.0029,medium
10.3,11.2,11.0,0.9942,medium
11.7,13.2,12.9,1.0041,low
4.7,7.4,8.6,0.9957,low
5.6,10.7,10.2,1.0011,high
10.5,12.5,9.0,0.9974,high
12.5,0.6,12.9,1.004,medium
10.8,3.9,13.4,1.0047,medium
11.3,5.9,8.1,0.9923,medium
9.4,0.7,9.2,0.9957,low
12.0,14.3,8.9,0.9945,high
6.2,5.0,12.8,1.0006,high
4.0,11.8,13.7,0.9918,high
11.7,11.8,9.3,0.9907,medium
11.9,0.6,9.5,0.9927,low
6.6,2.3,9.5,0.9978,low
6.9,1.0,8.3,0.997,medium
5.0,12.4,11.8,0.9981,low
8.6,11.3,8.3,0.9907,low
7.5,14.4,11.1,0.995,medium
5.2,7.6,8.2,1.0008,high
11.7,7.0,10.8,0.9938,high
13.8,5.8,12.8,0.9948,medium
11.6,4.6,11.9,1.0017,medium
6.6,12.9,13.6,1.0011,low
10.5,7.3,8.1,0.9918,low
5.0,5.8,13.6,0.9963,high
13.5,13.7,10.0,0.9957,high
13.6,13.4,9.4,0.9912,high
5.0,14.7,9.3,0.9949,low
4.6,2.8,13.5,1.0039,high
8.7,9.5,13.7,1.002,medium
10.3,5.8,13.4,0.999,high
5.6,10.6,10.1,0.9994,medium
10.7,0.8,12.6,0.997,high
9.3,1.7,9.2,0.994,low
11.9,0.9,13.9,0.9908,high
11.3,12.5,13.4,0.9942,medium
5.6,7.3,13.8,0.9905,high
14.6,3.8,11.1,0.9969,low
13.9,9.7,8.0,1.0012,low
13.2,14.7,13.5,0.9935,high
9.5,6.6,11.2,0.9916,medium
6.0,10.8,8.6,1.0017,low
5.3,8.6,11.4,0.9984,low
4.9,14.0,12.6,0.993,medium
4.9,13.3,11.0,0.9979,high
14.3,1.1,12.4,1.0029,high
12.7,13.9,13.9,1.0024,low
10.0,9.4,8.0,0.999,low
4.7,7.1,11.2,0.9947,high
12.1,2.8,10.4,0.9972,high
9.9,2.1,9.6,1.0028,medium
9.7,4.9,8.1,1.0007,low
8.0,14.0,8.3,0.9958,high
14.7,3.9,13.9,0.9938,medium
13.3,14.0,12.5,0.998,medium
10.7,3.9,12.5,1.0011,low
4.7,11.9,12.4,0.9912,medium
7.5,8.2,11.7,1.001,high
12.3,12.6,8.7,0.9933,medium
7.5,9.8,13.7,0.9918,medium
7.0,2.0,13.8,1.0049,low
12.3,11.1,12.3,1.0017,medium
5.5,7.2,9.2,0.9944,medium
7.5,7.2,10.3,0.9922,high
11.9,6.9,12.0,1.0029,high
9.5,8.2,11.9,1.0022,medium
14.2,1.4,11.9,1.0011,low
5.6,13.6,8.9,1.0027,low
12.7,12.4,12.4,0.9925,low
4.9,4.8,8.7,1.0043,high
13.7,7.9,9.8,0.9902,medium
4.4,8.3,8.6,0.9911,medium
9.4,9.7,14.0,0.9906,low
